DATE,LOL,HON,DO2,GW2,XIV,WOW,ESO,EQN,WIS
2014-06-10 07:30,78,1,60,2,9,8,11,2,30
2014-06-10 07:40,49,1,46,4,18,3,11,2,31
2014-06-10 07:50,87,1,69,5,22,12,12,1,33
2014-06-10 08:00,84,3,56,9,18,7,17,1,36
2014-06-10 08:10,122,1,41,8,16,4,6,2,32
2014-06-10 08:20,101,1,91,5,14,8,14,1,31
2014-06-10 08:30,77,2,86,12,11,14,8,1,25
2014-06-10 08:40,94,1,67,4,9,12,14,2,42
2014-06-10 08:50,118,1,71,4,18,10,7,2,27
2014-06-10 09:00,93,1,40,5,11,21,12,2,61
2014-06-10 09:10,89,4,65,10,10,15,11,1,45
2014-06-10 09:20,85,1,73,11,18,43,11,3,42
2014-06-10 09:30,97,1,66,10,38,8,5,7,38
2014-06-10 09:40,88,1,62,9,27,11,12,6,31
2014-06-10 09:50,133,1,71,10,53,12,17,1,44
2014-06-10 10:00,76,2,45,6,16,6,8,1,50
2014-06-10 10:10,97,2,61,6,20,10,10,1,76
2014-06-10 10:20,113,1,63,11,13,10,9,3,40
2014-06-10 10:30,84,2,48,10,10,11,11,1,35
2014-06-10 10:40,99,1,65,6,11,28,10,1,60
2014-06-10 10:50,116,1,81,7,12,20,10,1,63
2014-06-10 11:00,100,2,74,12,11,14,11,3,51
2014-06-10 11:10,1,1,1,1,1,1,1,1,1
2014-06-10 11:20,1,1,1,1,1,1,1,1,1
2014-06-10 11:30,1,1,1,1,1,1,1,1,1
2014-06-10 11:40,120,2,46,6,14,12,10,2,48
2014-06-10 11:50,123,1,58,6,27,11,13,3,51
2014-06-10 12:00,148,4,72,11,27,14,23,2,34
2014-06-10 12:10,129,4,61,4,31,10,11,4,55
2014-06-10 12:20,116,3,31,2,134,5,16,1,45
2014-06-10 12:30,63,1,51,4,27,8,9,1,22
2014-06-10 12:40,129,1,43,4,33,9,6,1,38
2014-06-10 12:50,133,2,37,4,23,9,12,3,55
2014-06-10 13:00,107,1,60,11,23,12,11,1,37
2014-06-10 13:10,88,3,73,10,22,7,17,1,51
2014-06-10 13:20,123,2,62,5,22,8,15,1,58
2014-06-10 13:30,117,1,53,6,42,11,17,3,50
2014-06-10 13:40,105,1,48,5,16,13,17,1,75
2014-06-10 13:50,1225,1,44,5,18,29,23,1,80
2014-06-10 14:00,120,1,31,7,15,7,4,1,63
